브랜드,차량명,차량종류,신차가격,
현대,i30,,,"'경차', '승용차', 'SUV', '승합차', '트럭'"
현대,i40,,,
현대,그랜저,,,
현대,넥쏘,,,
현대,맥스크루즈,,,
현대,베뉴,,,
현대,베라크루즈,,,
현대,벨로스터,,,
현대,스타렉스,,,
현대,스타리아,,,
현대,싼타페,,,
현대,쏘나타,,,
현대,아반떼,,,
현대,아이오닉,,,
현대,에쿠스,,,
현대,엑센트,,,
현대,제네시스,,,
현대,캐스퍼,,,
현대,코나,,,
현대,투싼,,,
현대,팰리세이드,,,
현대,포터,,,
제네시스,EQ900,,,
제네시스,G70,,,
제네시스,G80,,,
제네시스,G90,,,
제네시스,GV70,,,
제네시스,GV80,,,
기아,EV6,,,
기아,K3,,,
기아,K5,,,
기아,K7,,,
기아,K8,,,
기아,K9,,,
기아,니로,,,
기아,레이,,,
기아,모닝,,,
기아,모하비,,,
기아,봉고III,,,
기아,셀토스,,,
기아,스토닉,,,
기아,스팅어,,,
기아,스포티지,,,
기아,쏘렌토,,,
기아,쏘울,,,
기아,카니발,,,
기아,카렌스,,,
기아,프라이드,,,
쉐보레(GM대우),말리부,,,
쉐보레(GM대우),스파크,,,
쉐보레(GM대우),올란도,,,
쉐보레(GM대우),임팔라,,,
쉐보레(GM대우),콜로라도,,,
쉐보레(GM대우),크루즈,,,
쉐보레(GM대우),트랙스,,,
쉐보레(GM대우),트레일블레이저,,,
르노코리아(삼성),QM3,,,
르노코리아(삼성),QM6,,,
르노코리아(삼성),SM3,,,
르노코리아(삼성),SM5,,,
르노코리아(삼성),SM6,,,
르노코리아(삼성),XM3,,,
르노코리아(삼성),그랑 콜레오스,,,
KG모빌리티(쌍용),렉스턴,,,
KG모빌리티(쌍용),코란도,,,
KG모빌리티(쌍용),토레스,,,
KG모빌리티(쌍용),티볼리,,,
